step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
23,1763795543.9165006,16.306163787841797,3.6005077362060547,7.773387432098389,2.608778953552246,2.3234896659851074,,,36.616821410621455,5.194434655706823,,,0.0312500037252903,0,2.4563796520233154,0,0.15872472897171974,0,0.0634898915886879,0.15872472897171974,10.370861432565222,10.36673355102539,0.00015507604419939298,251.23805785179138,1.0189539044718208
24,1763795795.909392,16.34160614013672,3.6119394302368164,7.502832412719727,2.6579625606536865,2.56887149810791,9.045205211639404,3.5071521520614626,37.0378154622175,5.2109271039939635,33.353145599365234,5.059751017422128,0.0312500037252903,0,2.4205424785614014,0,0.1504321377724409,0,0.06017285510897637,0.1504321377724409,10.698955962524911,10.693567276000977,0.00017933647286911959,251.9928915500641,1.0159016725642034
25,1763797720.6189132,15.666831016540527,3.5195181369781494,7.526861190795898,2.604452610015869,2.0159995555877686,,,33.76815291866508,5.07759136253714,,,0.03125,0,2.5676565170288086,0,0.14202098548412323,0,0.056808394193649296,0.14202098548412323,9.767595330967806,9.760330200195312,0.00010821114278631375,260.59123277664185,0.9823814764306477
26,1763797979.1340795,15.246209144592285,3.551158905029297,7.636645793914795,2.5922813415527344,1.4661225080490112,9.138150596618653,3.4990976333618162,34.85368620356075,5.123239341694448,33.0855827331543,5.048130803237401,0.03125,0,2.5450408458709717,0,0.13353045843541622,0,0.05341218337416649,0.13353045843541622,8.77516410085296,8.77238655090332,0.0001945232906438835,258.4995365142822,0.9903305957604913
27,1763799875.8184307,15.252705574035645,3.5936672687530518,7.844856262207031,2.5889594554901123,1.2252224683761597,,,36.36719997254737,5.184565947235014,,,0.0312500037252903,0,2.370694875717163,0,0.1250001584488558,0,0.050000063379542325,0.1250001584488558,7.801088451726253,7.798306941986084,7.512658941869769e-05,252.51484298706055,1.0138017907054995
28,1763800126.2600343,15.512964248657227,3.6895179748535156,7.841307640075684,2.6027629375457764,1.3793751001358032,9.491226959228516,3.5034779787063597,40.025548985493685,5.322849285591858,33.230831146240234,5.054450305743354,0.0312500037252903,0,2.4368627071380615,0,0.11646987311542034,0,0.04658794924616814,0.11646987311542034,7.387669633902415,7.3835768699646,0.00013430573467467164,250.4416036605835,1.022194380878305
29,1763802007.1034553,15.574665069580078,3.5192434787750244,7.767912864685059,2.578577756881714,1.7089312076568604,,,33.758879492031234,5.077195114509552,,,0.03125,0,2.0731706619262695,0,0.10797934420406818,0,0.043191737681627276,0.10797934420406818,8.412573190677264,8.400691986083984,0.0002493715925035499,249.17026543617249,1.027409910054364
30,1763802256.6575792,15.43780517578125,3.555544137954712,7.765299320220947,2.6135928630828857,1.503368616104126,8.154218673706055,3.4360536098480225,35.006863349134065,5.129565895489088,31.06412124633789,4.957177503156363,0.03125,0,2.358741521835327,0,0.0995681881904602,0,0.039827275276184085,0.0995681881904602,7.3586127266188015,7.351584434509277,9.21319575518915e-05,249.554123878479,1.0258295716429828
31,1763804143.0406628,15.215618133544922,3.589730739593506,8.075122833251953,2.613955020904541,0.9368098974227905,,,36.22432083785207,5.178886736138222,,,0.0312500037252903,0,2.400707960128784,0,0.09127559140324593,0,0.03651023656129837,0.09127559140324593,6.143072203541895,6.1396660804748535,5.8924941593985135e-05,251.6564326286316,1.0172599099732857
32,1763804395.5884116,14.622840881347656,3.4157164096832275,7.762585163116455,2.6084282398223877,0.8361111879348755,7.824768304824829,3.4012888193130495,30.438748232174355,4.927837125333047,30.00274085998535,4.907022512254014,0.03125,0,2.1778440475463867,0,0.08314023539423943,0,0.03325609415769577,0.08314023539423943,6.387454430151389,6.385122776031494,2.2919656742083905e-05,252.5477488040924,1.013669696967228
33,1763806277.7098155,14.364264488220215,3.5875957012176514,7.481851577758789,2.678499460220337,0.6163178086280823,,,36.147063026267865,5.175806526861269,,,0.03125,0,2.2602930068969727,0,0.07520005851984024,0,0.0300800234079361,0.07520005851984024,5.577313229514504,5.5658650398254395,0.0006912562543568375,253.0985870361328,1.0114635683977682
34,1763806528.8867671,14.452159881591797,3.543818712234497,7.618768692016602,2.62197208404541,0.6676008701324463,7.9769634246826175,3.403661823272705,34.598790065066055,5.112649681950222,30.07402229309082,4.910446033298619,0.03125,0,2.395136833190918,0,0.06749207526445389,0,0.026996830105781557,0.06749207526445389,5.487405696453818,5.478426456451416,7.305186424239251e-05,251.1769516468048,1.0192017950754382
35,1763808414.621077,14.608611106872559,3.669701337814331,7.78758430480957,2.619805335998535,0.5315202474594116,,,39.240184550751685,5.29425992160833,,,0.03125,0,2.4183812141418457,0,0.06005220115184784,0,0.024020880460739136,0.06005220115184784,4.751767378913102,4.73846435546875,7.425183122804597e-05,252.52184534072876,1.0137736782913895
36,1763808667.3538735,14.361591339111328,3.50217866897583,7.640567302703857,2.6413352489471436,0.5775099396705627,7.839454126358032,3.434185433387756,33.18767821647977,5.052575798038541,31.006147384643555,4.954482294241632,0.0312500037252903,0,2.6499767303466797,0,0.05291514843702316,0,0.021166059374809268,0.05291514843702316,5.102337089956403,5.1003265380859375,0.000157163560832886,252.73279643058777,1.0129275013593637
